자치구,행정동명,ST_WEEK,ST_HOLI,ST_YOUT,ST_SOLO,ST_HOUS,ST_SUBW,ST_HOSP,SCORE
도봉구,도봉1동,0.10791490604679613,0.1099940214830478,0.24370065830958207,0.224663042668851,0.5842293906810035,0.4000000000000001,0.03898050974512743,1.709482528934408
성동구,행당2동,0.06276348076912279,0.06360426015781978,0.2919262491487376,0.18854717402636087,0.6583034647550776,0.4000000000000001,0.03898050974512743,1.7041251386022462
마포구,성산2동,0.1477119344512553,0.1496151245916039,0.2696042575730825,0.18087720604661553,0.5173237753882914,0.4000000000000001,0.03898050974512743,1.7041128077959762
광진구,군자동,0.11982313775631886,0.12087558102392842,0.4062854692662749,0.41254002531834094,0.20549581839904418,0.4000000000000001,0.03748125937031484,1.7025012911342223
중랑구,면목3.8동,0.1094927026575176,0.11052337847975585,0.3640880772820138,0.323255640777422,0.3500597371565114,0.4000000000000001,0.03898050974512743,1.6964000460983482
영등포구,신길5동,0.1316090127956674,0.13295403709491244,0.3064040154362247,0.22146101720157868,0.4647550776583035,0.4000000000000001,0.03898050974512743,1.696163669931814
강동구,천호3동,0.11853642220088056,0.1198642019834254,0.22042020833858805,0.24052423858813018,0.5316606929510155,0.4000000000000001,0.06296851574212893,1.6939742798041686
은평구,구산동,0.14824115862529338,0.14965001066976186,0.42285671046989687,0.2069402040360414,0.7371565113500597,0.0,0.026986506746626688,1.6918311018976797
종로구,부암동,0.07226106497873101,0.07307018771623561,0.22286679950563726,0.08682701615905876,0.7956989247311829,0.4000000000000001,0.03898050974512743,1.689704502835973
동대문구,청량리동,0.12449739543384986,0.1265368202479443,0.1596589905919742,0.10216695211854941,0.7335722819593787,0.4000000000000001,0.03898050974512743,1.685412950096824
중랑구,면목2동,0.10895241022295502,0.11008560727322078,0.3296340202285167,0.29547993149154816,0.3990442054958183,0.4000000000000001,0.03898050974512743,1.6821766844571866
중랑구,면목7동,0.10945917731492724,0.11072410206984837,0.32027643957928725,0.24484324968352075,0.45639187574671447,0.4000000000000001,0.03898050974512743,1.6806753541394257
서초구,방배본동,0.12518843551869155,0.1261982819433483,0.2504098670769541,0.12487899322362053,0.6129032258064514,0.4000000000000001,0.03898050974512743,1.6785593133141934
동작구,사당4동,0.04253221041547993,0.04295175272936853,0.23921103740510002,0.14900588279097476,0.3632019115890084,0.8,0.03898050974512743,1.6758833046750592
성북구,정릉2동,0.08884272806149875,0.08948723069055678,0.25010719600474185,0.24193908705041328,0.5651135005973715,0.4000000000000001,0.03898050974512743,1.6744702521497097
서초구,방배2동,0.14126005978305656,0.14249804581902714,0.2874618508336066,0.1620373817856877,0.4958183990442053,0.4000000000000001,0.03898050974512743,1.668056247010711
강동구,암사1동,0.07333645260988031,0.0742500499356091,0.24037127651524706,0.10983692009829474,0.7287933094384708,0.4000000000000001,0.03898050974512743,1.6655685183426294
광진구,자양3동,0.16615945195672954,0.16848524499821427,0.274623552853936,0.27887407848685686,0.33572281959378725,0.4000000000000001,0.03898050974512743,1.6628456576346515
중구,신당동,0.08227228520980491,0.08303825164276812,0.32365626655232427,0.23248194206567876,0.5017921146953404,0.4000000000000001,0.03898050974512743,1.662221369911044
양천구,신월3동,0.04897609275108246,0.04944933839719979,0.22680152344439683,0.0852632362796932,0.8100358422939066,0.4000000000000001,0.03898050974512743,1.6595065429114064
강남구,세곡동,0.2981362787717458,0.2968892788328677,0.034327944106741996,0.031945788964181994,0.5591397849462365,0.4000000000000001,0.03898050974512743,1.6594195853669016
강동구,암사2동,0.06849965571502345,0.06926608606495502,0.22039498574923702,0.05220046168739296,0.8076463560334527,0.4000000000000001,0.03898050974512743,1.6569880549951888
양천구,신월5동,0.005628512924753592,0.005612199080540607,0.20778369107372566,0.06463623501377616,0.9330943847072878,0.4000000000000001,0.03898050974512743,1.6557355325452114
은평구,불광2동,0.16904127103728614,0.16994140073278077,0.3149292506368704,0.35356318415369725,0.20549581839904418,0.4000000000000001,0.03898050974512743,1.651951434704806
성동구,금호4가동,0.06662092132743291,0.06755747930088929,0.20775846848437463,0.12048551641968874,0.7479091995221027,0.4000000000000001,0.03898050974512743,1.6493120947996158
은평구,수색동,0.17238425426971613,0.17316385483511504,0.18551214467677254,0.22913098518132402,0.8470728793309438,0.0,0.041979010494752625,1.649243128788624
