기간,자치구,동,계,20~24세,25~29세,30~34세,35~39세
2021,영등포구,신길3동,16519,876,1254.5,1234.5,1278.5
2021,영등포구,신길4동,12056.5,674.5,875.5,847,980
2021,영등포구,신길5동,10660,584,748,693,839.5
2021,영등포구,신길6동,18234.5,1164.5,1926,1588.5,1402.5
2021,영등포구,신길7동,19889.5,1297.5,1418,1488.5,1907.5
2021,영등포구,대림1동,14462.5,872.5,1224,946,998
2021,영등포구,대림2동,11926.5,663,1200,953.5,711
2021,영등포구,대림3동,22340,1322.5,1779.5,1663.5,1551.5
2021,영등포구,영등포본동,21000.5,1209,1630.5,1607.5,1635
2021,영등포구,영등포동,28160,1891.5,5237,4439.5,2741.5
2021,영등포구,도림동,17704,957.5,1738,1643.5,1530.5
2021,영등포구,문래동,32535,1567,2122.5,2704,3335
